system,seed,drop_rate,capture_rate,mean_steps,mean_reward,mean_trust,mean_battery,p_spoof
A,0,0.0,1.0,90.5,-14.566543681012552,1.0,0.9549423659281004,0.1
A,0,0.1,1.0,91.7,-8.11749920993426,1.0,0.9544338917186572,0.1
A,0,0.2,1.0,90.55,-7.548801165850167,1.0,0.9551779713486175,0.1
A,0,0.3,1.0,106.25,-43.726164535173965,1.0,0.947283786517436,0.1
A,0,0.4,0.7,231.5,-372.97683027626306,1.0,0.8855863246921685,0.1
A,0,0.5,0.35,353.8,-597.0457192821174,1.0,0.8277830524454874,0.1
A,0,0.6,0.1,453.1,-755.0754095342644,1.0,0.7842128280245877,0.1
A,0,0.7,0.1,453.1,-1258.2241211551404,1.0,0.7911067707095804,0.1
A,0,0.8,0.1,453.1,-2032.0910501137605,1.0,0.7953665924526717,0.1
B,0,0.0,0.95,97.75,-35.171818910163054,1.0,0.9484241383476613,0.1
B,0,0.1,0.95,97.35,-36.55198839600231,1.0,0.9488282914751579,0.1
B,0,0.2,0.95,97.95,-45.707656259282096,1.0,0.948907000880518,0.1
B,0,0.3,1.0,81.35,-6.926211849380581,1.0,0.9579635870445763,0.1
B,0,0.4,1.0,87.35,0.9396277466198686,1.0,0.9553456014478691,0.1
B,0,0.5,1.0,91.15,4.701865096661698,1.0,0.9538486465566682,0.1
B,0,0.6,1.0,96.15,3.585548196439845,1.0,0.9519324536978537,0.1
B,0,0.7,0.9,156.3,-99.94845772922147,1.0,0.9226373267438982,0.1
B,0,0.8,0.65,238.55,-357.00660035663566,1.0,0.8835107161194866,0.1
C,0,0.0,1.0,70.65,-8.318831144004161,0.5813927348251247,0.9665954835704518,0.1
C,0,0.1,1.0,70.75,-6.783610392039404,0.5520391193726002,0.9664511092864612,0.1
C,0,0.2,1.0,69.4,-2.57165692648061,0.5086930727134831,0.966943515864618,0.1
C,0,0.3,1.0,69.35,0.8016334191079197,0.4575033319705123,0.9663341665395091,0.1
C,0,0.4,1.0,74.05,-0.29757253039652803,0.4144471722839825,0.9635104100305638,0.1
C,0,0.5,1.0,69.35,1.7409224569733628,0.34274908378166374,0.9654496809311628,0.1
C,0,0.6,1.0,68.65,4.515154183708672,0.27592538061286104,0.965406720361315,0.1
C,0,0.7,1.0,70.55,8.125553589210025,0.20286275379800914,0.9636517378641146,0.1
C,0,0.8,1.0,70.75,12.812606418118818,0.13040545823481314,0.9632804444777525,0.1
