alpha,maxerr_mult,max_error,seed,capture_rate,mean_trust,mean_reward,mean_steps
0.05,1.0,5.0,0,0.0,0.023576122600139828,-141.6301617385086,500.0
0.05,1.0,5.0,1,0.0,0.07668060734067192,-151.5115638614355,500.0
0.05,1.0,5.0,2,0.0,0.02384343357767473,-134.21339149813184,500.0
0.05,1.5,7.5,0,0.0,2.671684437553271e-05,-128.22994828158448,500.0
0.05,1.5,7.5,1,0.0,0.03385021055137917,-126.761277929643,500.0
0.05,1.5,7.5,2,0.0,9.412447792700336e-06,-127.82174683819362,500.0
0.05,2.0,10.0,0,0.0,0.0027192027797041623,-158.95542147481768,500.0
0.05,2.0,10.0,1,0.0,0.005247413692455365,-103.39692928005596,500.0
0.05,2.0,10.0,2,0.0,0.026263345859073382,-129.89294197664063,500.0
0.1,1.0,5.0,0,0.0,0.0006091299015978392,-151.32698677392713,500.0
0.1,1.0,5.0,1,0.0,0.02111908389571551,-119.27096311979187,500.0
0.1,1.0,5.0,2,0.0,0.0008858683440145117,-126.69143722228198,500.0
0.1,1.5,7.5,0,0.0,0.00115184568623988,-135.7797315665262,500.0
0.1,1.5,7.5,1,0.0,0.0016904404651253602,-128.4832689595932,500.0
0.1,1.5,7.5,2,0.0,0.00043036344542080843,-132.26543420625765,500.0
0.1,2.0,10.0,0,0.0,0.0037228347730551468,-124.93651851105525,500.0
0.1,2.0,10.0,1,0.0,8.667460890152544e-09,-116.37210402308669,500.0
0.1,2.0,10.0,2,0.0,1.4579737578282928e-06,-127.10537740917269,500.0
0.2,1.0,5.0,0,0.0,5.207660520841846e-05,-112.87925599806587,500.0
0.2,1.0,5.0,1,0.0,0.02152344574281502,-114.3913503005426,500.0
0.2,1.0,5.0,2,0.0,0.005064176667047007,-122.08239828972599,500.0
0.2,1.5,7.5,0,0.0,0.03937073502104917,-148.91088352283964,500.0
0.2,1.5,7.5,1,0.0,0.013308288432617568,-131.04706747001882,500.0
0.2,1.5,7.5,2,0.0,0.0007725702484430947,-112.34545181805966,500.0
0.2,2.0,10.0,0,0.0,0.0030150209312551123,-133.87267527418945,500.0
0.2,2.0,10.0,1,0.0,0.005184716227082923,-139.02104361636935,500.0
0.2,2.0,10.0,2,0.0,5.422866466234837e-09,-121.68911872769206,500.0
